child restraint fixing system;belt,5
passenger seat;child restraint fixing system,4
child restraint fixing system;backrest,4
airbag;child restraint fixing system,3
child restraint fixing system;passenger seat,3
airbag;passenger seat,3
seat;backrest,3
head restraint;retaining strap,2
strap;child restraint fixing system,2
child seat;backrest,2
head restraint;strap,2
passenger seat;belt,2
passenger airbag;passenger seat,2
passenger airbag;child restraint fixing system,2
window;door,2
